STEP	B.A.	B+15	M.A.	M+15	M+30	M+45	M+60	D
1	51858	53738	55745	57895	60047	62221	63139	64054
2	54091	56186	58237	60316	62648	64581	65815	67050
3	56787	58624	60938	63114	65707	67369	68676	69988
4	59483	61320	63854	66029	69297	70356	71731	73103
5	62309	64059	67015	69117	71731	73491	74725	75960
6	65305	67052	70356	72240	74931	76613	78024	79434
7	68394	70194	73874	75626	78454	80125	81492	82859
8	73029	75314	77336	79103	81838	83552	84960	86369
9	74498	76828	80501	82181	84747	86804	88340	89879
10	77352	79770	83170	85303	87918	90142	91880	93619
11			90409	92588	95365	97963	99632	101298
12			92229	94449	97283	99931	101632	103332
13			94074	96337	99229	101930	103665	105398
14			97677	100027	103030	105834	107636	109435
